,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
6285,40864034,785826,Waterfront Communities-The Island,43.64427,-79.39295,Entire home/apt,105.0,28,2,2022-03-31,0.07,33,80,0,4.85
6286,40865232,35091862,Annex,43.66978,-79.40815,Entire home/apt,150.0,90,64,2021-12-05,1.31,1,255,0,4.81
6287,40870274,318182741,Bay Street Corridor,43.65374,-79.37992,Entire home/apt,98.0,28,41,2023-11-30,0.83,1,247,7,4.93
6288,40872330,317584405,Danforth East York,43.69154,-79.33619,Entire home/apt,128.0,28,36,2023-11-01,0.74,1,19,2,4.56
6289,40873365,301747040,Niagara,43.641359,-79.4066355,Entire home/apt,85.0,28,21,2023-12-21,0.43,7,66,3,4.62
6290,40873970,301747040,Niagara,43.64192199707031,-79.40496063,Entire home/apt,51.0,28,23,2024-01-02,0.47,7,67,4,4.74
6291,40876050,318276587,North St.James Town,43.67118,-79.37671,Entire home/apt,75.0,28,36,2023-11-27,0.73,1,208,5,4.78
6292,40889371,318429100,Malvern,43.79675,-79.23471,Private room,36.0,28,10,2020-03-18,0.21,3,38,0,4.7
6293,40890022,40120407,Bay Street Corridor,43.64946,-79.38667,Entire home/apt,75.0,28,2,2022-01-27,0.08,8,362,0,4.85
6294,40893850,318508060,Old East York,43.69768,-79.33857,Entire home/apt,120.0,28,6,2020-07-09,0.12,1,0,0,4.67
6295,40896009,318547684,Mimico (includes Humber Bay Shores),43.62406,-79.48289,Entire home/apt,120.0,28,8,2022-12-07,0.16,1,0,0,5.0
6296,40899241,7954417,Yorkdale-Glen Park,43.7157,-79.45353,Entire home/apt,160.0,30,7,2023-04-10,0.19,1,251,1,5.0
6297,40905911,68247916,Kennedy Park,43.72612,-79.25133,Entire home/apt,200.0,28,5,2020-06-09,0.1,1,178,0,4.6
6298,40940798,44885783,Waterfront Communities-The Island,43.64379,-79.39014,Entire home/apt,145.0,31,16,2023-08-15,0.33,1,87,1,4.88
6299,40948723,301014754,Waterfront Communities-The Island,43.64815,-79.39422,Private room,359.0,2,5,2022-11-02,0.1,32,261,0,4.6
6300,40948780,301014754,Waterfront Communities-The Island,43.64842,-79.3929,Private room,267.0,2,37,2023-08-29,0.76,32,253,1,4.57
6301,40948840,301014754,Waterfront Communities-The Island,43.64823,-79.39263,Private room,228.0,2,5,2022-11-13,0.11,32,247,0,4.2
6302,40948848,301014754,Waterfront Communities-The Island,43.64634,-79.39413,Private room,351.0,2,4,2023-06-30,0.08,32,253,1,4.5
6303,40951117,102716543,Waterfront Communities-The Island,43.64537,-79.37718,Entire home/apt,153.0,28,68,2023-11-13,1.4,1,262,6,4.66
6304,40951253,309364369,Waterfront Communities-The Island,43.64683,-79.39454,Entire home/apt,99.0,28,29,2023-10-01,0.61,2,83,4,4.69
6305,40964285,301014754,Waterfront Communities-The Island,43.64828,-79.3923,Private room,221.0,2,121,2023-12-10,2.46,32,265,20,4.63
6306,40982610,262777,South Riverdale,43.66785,-79.33524,Entire home/apt,530.0,28,2,2022-07-31,0.1,1,362,0,2.5
6307,40988782,131549006,New Toronto,43.6069,-79.50856,Entire home/apt,50.0,28,44,2023-12-31,0.9,2,122,1,4.82
6308,40997056,120151572,Dorset Park,43.76087,-79.28646,Entire home/apt,70.0,28,5,2020-03-22,0.1,1,257,0,5.0
6309,40998675,696399,Black Creek,43.77,-79.52381,Private room,120.0,28,1,2020-02-29,0.02,1,0,0,4.85
6310,41001441,81186449,Bedford Park-Nortown,43.73097,-79.43058,Entire home/apt,241.0,3,62,2023-10-08,1.27,1,89,16,4.87
6311,41003570,31798569,Rockcliffe-Smythe,43.67775,-79.50313,Entire home/apt,140.0,3,14,2023-11-20,0.86,1,350,8,4.86
6312,41003795,319882486,Malvern,43.80648556375162,-79.20861092,Private room,60.0,28,194,2023-08-29,3.95,5,65,4,4.87
6313,41004519,153394703,Willowdale East,43.7575,-79.4037,Private room,120.0,28,1,2020-01-05,0.02,1,0,0,1.5
6314,41006183,296412580,St.Andrew-Windfields,43.749393463134766,-79.39455414,Private room,158.0,365,9,2023-08-15,0.18,2,88,6,5.0
6315,41006478,296412580,St.Andrew-Windfields,43.7482,-79.39434,Private room,158.0,300,39,2022-12-29,0.8,2,87,0,4.87
6316,41011433,320041926,Bayview Woods-Steeles,43.79189031440529,-79.37164282,Private room,79.0,1,3,2023-06-15,0.19,2,61,1,5.0
6317,41025640,61020783,North St.James Town,43.67169,-79.37795,Entire home/apt,175.0,28,8,2022-09-30,0.17,1,89,0,4.88
6318,41031498,10338905,New Toronto,43.60141,-79.52556,Private room,70.0,30,1,2020-03-07,0.02,1,358,0,4.85
6319,41046538,301284218,University,43.65682,-79.40613,Private room,120.0,28,6,2020-11-16,0.12,9,0,0,4.67
6320,41058476,150625571,Palmerston-Little Italy,43.65555,-79.41519,Private room,56.0,30,1,2021-10-06,0.04,12,365,0,4.85
6321,41080605,36677148,Waterfront Communities-The Island,43.64558,-79.39283,Private room,120.0,28,1,2020-03-03,0.02,1,0,0,4.85
6322,41090045,212832355,Waterfront Communities-The Island,43.64499,-79.38847,Entire home/apt,250.0,28,17,2023-11-11,0.35,5,13,3,5.0
6323,41092081,38195238,Mimico (includes Humber Bay Shores),43.62268,-79.50124,Private room,45.0,28,16,2023-07-22,0.33,14,12,5,4.88
6324,41092558,321399874,Highland Creek,43.791,-79.18488,Entire home/apt,76.0,28,37,2023-08-28,0.75,5,365,12,4.57
6325,41103025,303177590,Clanton Park,43.751,-79.45743,Private room,120.0,28,1,2020-02-09,0.02,1,0,0,1.5
6326,41114162,17299566,Church-Yonge Corridor,43.66135,-79.37976,Entire home/apt,413.0,3,84,2024-01-03,1.73,1,171,26,4.87
