,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
16632,943336569762636369,Rental unit in Toronto · 3 bedrooms · 3 beds · 2 baths,527814892,Parkwoods-Donalda,43.76007,-79.33264,Entire home/apt,157.0,140,0,,0.625,1,0,0,4.85
16633,943410236669474683,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 private bath,146026426,Agincourt South-Malvern West,43.78846010620279,-79.27610331,Private room,109.0,1,5,2023-10-17,0.96,10,364,5,5.0
16634,943431279907153351,Rental unit in kirkland lake ontario · 1 bedroom · 1 bed · Half-bath,323330233,Church-Yonge Corridor,43.661596609455614,-79.37810928,Private room,120.0,28,0,,0.625,1,268,0,4.85
16635,943432924844823430,Townhouse in Toronto · 3 bedrooms · 5 beds · 2 baths,63979569,Church-Yonge Corridor,43.66704280553108,-79.3818038,Entire home/apt,324.0,28,1,2023-12-18,1.0,3,365,1,4.85
16636,943444579231511227,Home in Toronto · 3 bedrooms · 3 beds · 3.5 baths,305782229,Woodbine-Lumsden,43.6901467,-79.3134477,Entire home/apt,290.0,30,1,2023-12-31,1.0,2,270,1,3.5
16637,943461149021690689,Rental unit in Toronto · ★4.75 · 1 bedroom · 1 bed · 1 bath,356043380,Waterfront Communities-The Island,43.643471480717785,-79.39037534,Entire home/apt,198.0,28,4,2023-10-31,1.04,2,83,4,4.75
16638,943484883616476389,Home in Toronto · ★4.33 · 3 bedrooms · 3 beds · 1 bath,519491423,Kennedy Park,43.7256396,-79.2595408,Entire home/apt,246.0,1,9,2024-01-07,2.2,1,280,9,4.33
16639,943507598237101890,Home in Toronto · 1 bedroom · 1 bed · 1 bath,515199033,Clanton Park,43.74000271288599,-79.44702627,Private room,69.0,28,2,2023-11-20,0.64,13,162,2,4.85
16640,943524129317605444,Condo in Toronto · ★4.33 · 2 bedrooms · 2 beds · 1 bath,527883481,Waterfront Communities-The Island,43.64520659249943,-79.38880678,Entire home/apt,140.0,28,3,2023-11-18,0.66,1,30,3,4.33
16641,943531032007386579,Rental unit in Toronto · ★New · Studio · 2 beds · 1 bath,527885635,Bay Street Corridor,43.66110254073119,-79.38368672,Entire home/apt,163.0,1,1,2023-12-29,1.0,1,90,1,4.85
16642,943587258118204513,Home in Toronto · 1 bedroom · 1 bed · 1 bath,515199033,Clanton Park,43.74007532766292,-79.44880033,Private room,59.0,28,1,2023-10-08,0.32,13,119,1,4.85
